32.1	20.6178
32.2	20.6636
32.3	20.7093
32.4	20.7547
32.5	20.7997
32.6	20.8443
32.7	20.8883
32.8	20.9318
32.9	20.9756
33	21.0201
33.1	21.0651
33.2	21.1102
33.3	21.1548
33.4	21.199
33.5	21.2438
33.6	21.2891
33.7	21.3342
33.8	21.3792
33.9	21.4242
34	21.469
34.1	21.5135
34.2	21.5577
34.3	21.6022
34.4	21.6472
34.5	21.6925
34.6	21.7381
34.7	21.7836
34.8	21.8286
34.9	21.8728
35	21.9167
35.1	21.9604
35.2	22.0035
35.3	22.0464
35.4	22.0895
35.5	22.1327
35.6	22.1755
35.7	22.2184
35.8	22.2616
35.9	22.3054
36	22.3492
36.1	22.393
36.2	22.4371
36.3	22.4815
36.4	22.5259
36.5	22.57
36.6	22.6138
36.7	22.6573
36.8	22.7008
36.9	22.7449
37	22.7897
37.1	22.8351
37.2	22.8804
37.3	22.9248
37.4	22.9681
37.5	23.011
37.6	23.0548
37.7	23.0993
37.8	23.1442
37.9	23.1892
38	23.2341
38.1	23.2789
38.2	23.3233
38.3	23.3673
38.4	23.411
38.5	23.455
38.6	23.499
38.7	23.5425
38.8	23.5858
38.9	23.6294
39	23.6735
39.1	23.718
39.2	23.7628
39.3	23.8074
39.4	23.8517
39.5	23.896
39.6	23.9404
39.7	23.985
39.8	24.0298
39.9	24.0745
40	24.1188
40.1	24.1629
40.2	24.2073
40.3	24.252
40.4	24.2967
40.5	24.3412
40.6	24.3856
40.7	24.4296
40.8	24.4732
40.9	24.5168
41	24.5604
41.1	24.6039
41.2	24.6476
41.3	24.6918
41.4	24.736
41.5	24.78
41.6	24.8239
41.7	24.8677
41.8	24.912
41.9	24.957
42	25.0025
42.1	25.048
42.2	25.0932
42.3	25.1379
42.4	25.1822
42.5	25.2267
42.6	25.2714
42.7	25.3161
42.8	25.3608
42.9	25.4056
43	25.4506
43.1	25.496
43.2	25.5416
43.3	25.5871
43.4	25.6324
43.5	25.6777
43.6	25.7228
43.7	25.7675
43.8	25.8118
