# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
90 -2696.87 -4164.77 -3681.12 1146.53 -2146.74 525.605
91 -2657.72 -4068.02 -4635.85 1023.32 -2125.07 684.062
92 -3153.37 -4592.55 -5579.53 1115.71 -1708.66 979.581
93 -4142.94 -5727.45 -6258.68 1311.74 -1037.29 1186.57
94 -5391.95 -7173.52 -6536.44 1468.52 -357.908 1123.44
95 -6542.74 -8488.68 -6417.44 1455.53 57.3749 718.227
96 -7250.21 -9308.12 -6019.79 1215.31 34.8028 21.6572
97 -7298.66 -9468.44 -5513.65 806.614 -404.431 -811.202
98 -6670.09 -8980.1 -5064.45 375.974 -1036.74 -1566.73
99 -5579.29 -7966.33 -4796.88 68.9191 -1532.82 -2041.44
100 -4448.47 -6648.64 -4779.06 -50.623 -1614.48 -2115.51
101 -3763.65 -5341.3 -5016.15 -2.68735 -1184.14 -1788.93
102 -3854.11 -4389.32 -5448.62 167.227 -355.64 -1166.48
103 -4709.82 -4028.9 -5940.09 413.081 628.755 -431.151
104 -5984.32 -4272.42 -6306.3 686.02 1501.5 213.32
105 -7171.42 -4910.86 -6396.9 946.907 2031.85 632.694
106 -7790.17 -5613.88 -6136.74 1169.09 2099.54 796.09
107 -7537.23 -6077.88 -5537.65 1345.39 1741.96 748.531
108 -6400.53 -6128.22 -4700.8 1493.38 1137.34 566.962
109 -4689.16 -5726.45 -3803.81 1639.64 529.141 338.962
110 -2931.61 -4925.43 -3061.55 1791.08 122.82 164.399
111 -1661.6 -3844.89 -2662.07 1918.03 7.19625 151.111
112 -1205.28 -2682.87 -2704.85 1974.74 151.013 374.322
113 -1581.49 -1705.53 -3171.88 1950.9 463.306 820.806
114 -2525.51 -1159.68 -3923.31 1906.91 845.798 1374.23
115 -3602.8 -1145.3 -4711.76 1940.9 1191.53 1865.9
116 -4379.07 -1558.78 -5240.05 2110.4 1364.12 2152.36
117 -4594.82 -2166.38 -5273.84 2372.93 1226.17 2161.93
118 -4252.98 -2742.16 -4747.03 2596.8 724.072 1887.78
119 -3561.19 -3139.89 -3796.26 2630.34 -43.8835 1358.68
120 -2786.5 -3267.61 -2719.8 2373.85 -850.031 636.397
121 -2144.8 -3060.43 -1884.65 1815.52 -1440.98 -158.732
122 -1771.46 -2520.78 -1601.68 1033.31 -1647.42 -850.045
123 -1726.25 -1785.97 -2001.85 186.359 -1438.8 -1269.01
124 -1987.44 -1132.48 -2962.98 -514.653 -906.635 -1345.53
125 -2460.42 -867.67 -4134.42 -888.933 -204.269 -1158.2
126 -3023.75 -1174.46 -5081.78 -889.327 508.507 -902.62
127 -3577.27 -2023.42 -5480.67 -639.616 1090.52 -794.947
128 -4041.3 -3203.78 -5237.48 -363.062 1433.67 -976.347
129 -4331.62 -4430.54 -4491.19 -256.172 1494.77 -1463.86
130 -4373.92 -5441.79 -3530.98 -391.037 1330.46 -2146.61
131 -4156.1 -6040.33 -2682.45 -696.725 1089.11 -2815.01
132 -3746.84 -6106.42 -2195.26 -1017.07 945.673 -3221.09
133 -3263.8 -5640.62 -2169.22 -1199.54 1024.15 -3155.92
134 -2852.99 -4829.04 -2551.83 -1155.56 1361.24 -2528.77
135 -2675.81 -4036.96 -3189.57 -873.918 1911.47 -1424.32
136 -2860.26 -3664.68 -3881.63 -417.459 2566.5 -98.5709
137 -3433.38 -3933.05 -4421.4 94.4637 3173.5 1109.38
138 -4288.87 -4740.36 -4648.79 534.116 3559.74 1921.58
139 -5224.89 -5711.75 -4507.74 820.73 3578.98 2234.1
140 -6019.09 -6413.8 -4064.44 952.407 3177.38 2120.96
141 -6479.77 -6575.24 -3453.21 993.226 2438.87 1748.61
142 -6472.68 -6165.73 -2794.86 1011.38 1568.68 1293.13
143 -5964.72 -5339.94 -2170.4 1020.08 813.881 917.032
144 -5084.07 -4343.45 -1665.72 986.823 366.095 760.655
145 -4115.23 -3438.71 -1405.17 892.533 302.058 893.564
146 -3391.96 -2849.64 -1507 766.664 584.312 1260.95
147 -3146.15 -2706.41 -1997.15 665.564 1089.29 1694.48
148 -3408.84 -2989.3 -2767.99 618.719 1635.15 1988.56
149 -4008.36 -3516.78 -3610.28 590.144 2009.91 1982.36
150 -4642.35 -4024.99 -4272.57 493.707 2025.61 1594.39
151 -4989.19 -4307.75 -4524.56 251.004 1598.6 821.084
152 -4831.92 -4313.17 -4247.48 -154.123 812.139 -258.429
153 -4141.69 -4121.59 -3524.19 -660.683 -92.0676 -1469.47
154 -3084.88 -3850.04 -2642.99 -1165.62 -805.18 -2556.24
155 -1961.35 -3583.52 -1970.74 -1575.33 -1080.46 -3246.62
156 -1102.37 -3385.81 -1776.39 -1829.2 -828.221 -3350.67
157 -758.777 -3345.72 -2130.16 -1901.06 -131.308 -2845.02
158 -1005.06 -3570.01 -2914.53 -1809.74 805.457 -1900.82
159 -1698.88 -4107.21 -3896.23 -1622.65 1726.01 -838.19
160 -2542.69 -4876.33 -4802.41 -1431.7 2383.13 -3.77585
161 -3234.48 -5694.45 -5382.17 -1312.48 2594.35 380.996
